Timestamp(ns);Rotation_X(rad);Rotation_Y(rad);Rotation_Z(rad);Position_X(m);Position_Y(m);Position_Z(m);
3990283229623; 0.00; 0.01; -0.00; -0.00; 0.00; 0.00;
3990316250427; 0.00; 0.01; -0.00; -0.00; 0.00; 0.00;
3990349714708; 0.01; 0.01; 0.00; -0.00; 0.00; 0.00;
3990366534303; 0.01; 0.01; 0.00; -0.00; 0.00; 0.00;
3990399667153; 0.01; 0.01; 0.00; -0.00; 0.00; 0.00;
3990416235716; 0.02; 0.01; 0.00; -0.00; 0.00; 0.00;
3990449646968; 0.02; 0.00; 0.00; -0.00; 0.00; 0.00;
3990466261717; 0.02; 0.00; 0.00; -0.00; 0.00; 0.00;
3990482920943; 0.02; 0.00; 0.00; -0.00; 0.00; 0.00;
3990499531416; 0.03; 0.00; 0.00; -0.00; 0.00; 0.00;
3990516321931; 0.03; 0.00; 0.00; -0.00; 0.00; 0.00;
3990533323707; 0.03; 0.00; 0.00; -0.00; 0.00; 0.00;
3990566257697; 0.03; 0.00; 0.00; -0.00; 0.00; 0.00;
3990582893402; 0.03; -0.00; 0.01; -0.00; 0.00; 0.00;
3990599607795; 0.03; -0.00; 0.01; -0.00; 0.00; 0.00;
3990616255901; 0.03; -0.00; 0.01; -0.00; 0.00; 0.00;
3990632844564; 0.03; -0.00; 0.01; -0.00; 0.00; 0.00;
3990666225025; 0.03; -0.00; 0.01; -0.00; 0.00; 0.00;
3990682878691; 0.03; 0.00; 0.01; -0.00; 0.00; 0.00;
3990699486598; 0.03; 0.00; 0.01; -0.00; 0.00; 0.00;
3990716141547; 0.03; 0.00; 0.00; -0.00; 0.00; 0.00;
3990732868342; 0.03; 0.00; 0.01; -0.00; 0.00; 0.00;
3990749480098; 0.03; 0.00; 0.00; -0.00; 0.00; 0.00;
3990782727986; 0.03; 0.00; 0.00; -0.00; 0.00; 0.00;
3990799506099; 0.03; 0.00; 0.00; -0.00; 0.00; 0.00;
3990816146080; 0.03; 0.00; 0.00; -0.00; 0.00; 0.00;
3990832835241; 0.03; 0.00; 0.00; -0.00; 0.00; 0.00;
3990849536377; 0.03; 0.00; 0.00; -0.00; 0.00; 0.00;
3990866063457; 0.03; 0.00; 0.00; -0.00; 0.00; 0.00;
3990899388751; 0.03; 0.00; 0.00; -0.00; 0.01; 0.00;
3990916128803; 0.03; 0.00; 0.00; -0.00; 0.01; 0.00;
3990932908199; 0.03; 0.00; 0.00; -0.00; 0.01; 0.00;
3990949345045; 0.03; 0.00; 0.00; -0.00; 0.01; 0.00;
3990966120164; 0.03; 0.00; 0.00; -0.00; 0.01; 0.00;
3990982731493; 0.03; 0.00; 0.00; -0.00; 0.01; 0.00;
3991016153436; 0.03; 0.01; 0.00; -0.00; 0.01; 0.00;
3991032763053; 0.03; 0.01; 0.00; -0.00; 0.01; 0.00;
3991049441096; 0.03; 0.01; 0.00; -0.00; 0.01; 0.00;
3991066071241; 0.03; 0.01; 0.00; -0.00; 0.01; 0.00;
3991082817707; 0.03; 0.01; 0.00; -0.00; 0.01; 0.00;
3991099371730; 0.03; 0.01; 0.00; -0.00; 0.01; 0.00;
3991132765448; 0.03; 0.01; 0.00; -0.00; 0.01; 0.00;
3991149405429; 0.03; 0.01; 0.00; -0.00; 0.01; 0.00;
3991166144626; 0.03; 0.01; 0.00; -0.00; 0.01; 0.00;
3991182649896; 0.03; 0.00; 0.00; -0.00; 0.01; 0.00;
3991199377119; 0.03; 0.00; 0.01; -0.00; 0.01; 0.00;
3991216010257; 0.03; 0.00; 0.01; -0.00; 0.01; 0.00;
3991249381737; 0.03; 0.00; 0.01; -0.00; 0.01; 0.00;
3991266010172; 0.03; 0.01; 0.01; -0.00; 0.01; 0.00;
3991282622783; 0.03; 0.01; 0.00; -0.00; 0.01; 0.00;
3991299237960; 0.03; 0.01; 0.01; -0.00; 0.01; 0.00;
3991315992125; 0.03; 0.01; 0.01; -0.00; 0.01; 0.00;
3991332663325; 0.03; 0.01; 0.01; -0.00; 0.01; 0.00;
3991365990756; 0.03; 0.00; 0.01; -0.00; 0.01; 0.00;
3991382582413; 0.03; 0.00; 0.01; -0.00; 0.01; 0.00;
3991399227098; 0.03; 0.00; 0.01; -0.00; 0.00; 0.00;
